model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,relabel,tag,subtag,assert,Insert,Delete,date
dbpedia,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,820.656,411.318,2022-10-07.18:14:45
livej,4847571,42851237,16,4,4993.112672,100000,0,169.216854,112714,158397,6116907,6,6,28010,-1,-1,-1,2022-10-07.18:15:51
livej,4847571,42851237,16,4,4924.667434,0,100000,78.127714,103709,0,3904250,0,0,0,-1,-1,-1,2022-10-07.18:16:54
livej,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,584.691,560.02,2022-10-07.18:19:20
roadNetCA,1971281,2766607,16,4,831.497970,100000,0,67.703424,48370,248024,528485,133,138,145178,-1,-1,-1,2022-10-07.18:19:24
roadNetCA,1971281,2766607,16,4,833.375211,0,100000,33.075934,59313,0,95216,0,0,0,-1,-1,-1,2022-10-07.18:19:28
roadNetCA,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,379.693,142.734,2022-10-07.18:19:35
baidu,2141301,17014946,16,4,1547.248912,100000,0,279.408342,102498,137110,11701553,10,10,21893,-1,-1,-1,2022-10-07.18:20:07
baidu,2141301,17014946,16,4,1534.247507,0,100000,76.949139,93453,0,2867744,0,0,0,-1,-1,-1,2022-10-07.18:20:37
baidu,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,1037.31,623.357,2022-10-07.18:21:34
dbpedia,3966925,12610982,16,4,1981.935098,100000,0,79.544075,98392,125986,1328855,17,20,17040,-1,-1,-1,2022-10-07.18:21:55
dbpedia,3966925,12610982,16,4,1976.829651,0,100000,460.807870,101520,0,1123988,0,0,0,-1,-1,-1,2022-10-07.18:22:15
dbpedia,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,809.537,405.265,2022-10-07.18:22:58
livej,4847571,42851237,16,4,4971.544745,100000,0,170.429753,112672,157991,6482501,5,5,27696,-1,-1,-1,2022-10-07.18:24:04
livej,4847571,42851237,16,4,4934.295515,0,100000,79.162417,101135,0,3528882,0,0,0,-1,-1,-1,2022-10-07.18:25:08
livej,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,526.408,513.28,2022-10-07.18:27:33
roadNetCA,1971281,2766607,16,4,828.823263,100000,0,67.412377,47395,246350,530529,145,150,144684,-1,-1,-1,2022-10-07.18:27:37
roadNetCA,1971281,2766607,16,4,833.580228,0,100000,33.448262,59661,0,96325,0,0,0,-1,-1,-1,2022-10-07.18:27:41
roadNetCA,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,425.74,140.415,2022-10-07.18:27:49
baidu,2141301,17014946,16,4,1533.787816,100000,0,136.603196,97363,130788,6601775,2,2,20776,-1,-1,-1,2022-10-07.18:28:20
baidu,2141301,17014946,16,4,1532.691106,0,100000,77.316451,93739,0,3643616,0,0,0,-1,-1,-1,2022-10-07.18:28:50
baidu,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,1056.88,582.022,2022-10-07.18:29:47
dbpedia,3966925,12610982,16,4,1991.375315,100000,0,80.920400,98602,125399,1330170,8,8,16211,-1,-1,-1,2022-10-07.18:30:08
dbpedia,3966925,12610982,16,4,1969.081843,0,100000,454.748019,101503,0,1066204,0,0,0,-1,-1,-1,2022-10-07.18:30:28
dbpedia,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,672.233,387.573,2022-10-07.18:31:11
livej,4847571,42851237,16,4,4972.248545,100000,0,164.174667,111624,158108,6045669,22,23,28905,-1,-1,-1,2022-10-07.18:32:18
livej,4847571,42851237,16,4,4952.229490,0,100000,74.868778,100532,0,3469024,0,0,0,-1,-1,-1,2022-10-07.18:33:21
livej,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,529.618,517.169,2022-10-07.18:35:47
roadNetCA,1971281,2766607,16,4,830.686298,100000,0,72.297958,48365,247975,534891,128,132,145704,-1,-1,-1,2022-10-07.18:35:51
roadNetCA,1971281,2766607,16,4,839.585308,0,100000,34.211211,59291,0,94894,0,0,0,-1,-1,-1,2022-10-07.18:35:55
roadNetCA,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,430.757,146.165,2022-10-07.18:36:03
baidu,2141301,17014946,16,4,1537.814701,100000,0,125.643263,98014,131679,6601885,6,6,21059,-1,-1,-1,2022-10-07.18:36:34
baidu,2141301,17014946,16,4,1532.334084,0,100000,80.655595,93549,0,3450390,0,0,0,-1,-1,-1,2022-10-07.18:37:03
baidu,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,916.089,510.669,2022-10-07.18:38:01
dbpedia,3966925,12610982,16,4,1995.279263,100000,0,70.066398,97802,124946,1327052,17,18,16742,-1,-1,-1,2022-10-07.18:38:22
dbpedia,3966925,12610982,16,4,1975.163706,0,100000,445.318249,100656,0,1063294,0,0,0,-1,-1,-1,2022-10-07.18:38:42
dbpedia,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,705.135,419.989,2022-10-07.18:39:25
livej,4847571,42851237,16,4,4952.377598,100000,0,157.047482,110051,154713,6166927,4,4,27187,-1,-1,-1,2022-10-07.18:40:31
livej,4847571,42851237,16,4,4970.730707,0,100000,74.399457,100843,0,3876232,0,0,0,-1,-1,-1,2022-10-07.18:41:35
livej,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,503.028,526.626,2022-10-07.18:44:00
roadNetCA,1971281,2766607,16,4,826.810448,100000,0,70.816897,48729,249462,534153,130,135,146398,-1,-1,-1,2022-10-07.18:44:04
roadNetCA,1971281,2766607,16,4,836.848557,0,100000,32.901102,59582,0,95825,0,0,0,-1,-1,-1,2022-10-07.18:44:08
roadNetCA,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,419.305,150.701,2022-10-07.18:44:16
baidu,2141301,17014946,16,4,1534.532377,100000,0,126.744121,97334,131299,6491124,8,8,21233,-1,-1,-1,2022-10-07.18:44:47
baidu,2141301,17014946,16,4,1534.344858,0,100000,76.310993,93212,0,3418863,0,0,0,-1,-1,-1,2022-10-07.18:45:17
