model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,assert,date
wiki-links,5710993,130160392,1,3,9982.060704,0,100000,1088.172557,189393,0,115816270,189393,-1,2021-08-21.14:53:17
wikitalk,2394385,5021410,1,3,466.412672,0,100000,326.191235,100578,0,22203142,100578,-1,2021-08-21.14:53:21
wiki_talk_en,2987536,24981163,1,3,678.809991,0,100000,623.121148,99931,0,34140004,99931,-1,2021-08-21.14:53:29
ba-1m-8m,1000000,7999964,1,2,653.986524,100000,0,1215.513349,21910,111805,1863514,0,-1,2021-08-21.14:53:45
baidu,2141301,17794839,1,2,1388.053478,100000,0,387.110649,98553,119656,10157051,0,-1,2021-08-21.14:54:12
dbpedia,3966925,13820853,1,2,1686.523272,100000,0,326.383002,101149,117811,1815658,0,-1,2021-08-21.14:54:32
er-1m-8m,1000000,8000000,1,2,956.552286,100000,0,336.812334,39728,55238,664434,0,-1,2021-08-21.14:54:50
livej,4847571,68993773,1,2,4896.308608,100000,0,508.162962,113142,141150,10963286,0,-1,2021-08-21.14:55:48
patent,6009555,16518948,1,2,3490.171786,100000,0,664.069657,104827,155546,2430004,0,-1,2021-08-21.14:56:29
pokec,1632804,30622564,1,2,1847.449269,100000,0,525.166523,86249,127229,6102035,0,-1,2021-08-21.14:56:57
rmat-1m-8m,999760,7810950,1,2,430.241243,100000,0,353.339646,100622,120641,30631305,0,-1,2021-08-21.14:57:03
ssca2,1048577,157877986,1,2,1040.740767,100000,0,2155.516110,1596203,1656408,125625651,0,-1,2021-08-21.14:58:06
wiki-links,5710993,130160392,1,2,9661.894113,100000,0,1039.641033,189770,205496,55943025,0,-1,2021-08-21.15:00:30
wikitalk,2394385,5021410,1,2,558.476364,100000,0,280.836659,99955,105151,12772661,0,-1,2021-08-21.15:00:34
wiki_talk_en,2987536,24981163,1,2,781.377935,100000,0,396.772265,100029,105561,21086113,0,-1,2021-08-21.15:00:43
ba-1m-8m,1000000,7999964,1,3,745.811315,100000,0,257.886651,22168,166375,1850036,371651,-1,2021-08-21.15:00:49
baidu,2141301,17794839,1,3,1343.656027,100000,0,220.780758,98803,132737,10276158,819721,-1,2021-08-21.15:01:14
dbpedia,3966925,13820853,1,3,1618.856160,100000,0,137.773885,101161,128119,1885589,1130189,-1,2021-08-21.15:01:31
er-1m-8m,1000000,8000000,1,3,1082.220559,100000,0,97.395483,38871,65787,652711,430830,-1,2021-08-21.15:01:40
livej,4847571,68993773,1,3,4828.161856,100000,0,398.943990,111608,158233,11146753,774485,-1,2021-08-21.15:02:31
patent,6009555,16518948,1,3,3537.337294,100000,0,236.211503,106389,181393,2377081,1026631,-1,2021-08-21.15:03:05
pokec,1632804,30622564,1,3,1873.043213,100000,0,225.294496,85989,147889,6058889,726121,-1,2021-08-21.15:03:29
rmat-1m-8m,999760,7810950,1,3,389.091692,100000,0,386.604384,100415,133793,31255700,630729,-1,2021-08-21.15:03:34
ssca2,1048577,157877986,1,3,1929.097678,100000,0,11120.923959,1600566,1688707,126592952,12042821,-1,2021-08-21.15:04:41
wiki-links,5710993,130160392,1,3,9926.191620,100000,0,4682.442850,190622,219659,57173661,782587,-1,2021-08-21.15:07:00
wikitalk,2394385,5021410,1,3,463.024123,100000,0,232.237274,100074,108695,13147066,1077572,-1,2021-08-21.15:07:03
wiki_talk_en,2987536,24981163,1,3,676.956672,100000,0,359.523043,100073,109555,21333841,954557,-1,2021-08-21.15:07:11
ba-1m-8m,1000000,7999964,1,2,656.626818,0,100000,249.117818,22094,0,154986,0,-1,2021-08-21.15:07:26
baidu,2141301,17794839,1,2,1391.466846,0,100000,370.340277,98797,0,6045061,0,-1,2021-08-21.15:07:53
dbpedia,3966925,13820853,1,2,1686.046463,0,100000,787.952881,101196,0,1024628,0,-1,2021-08-21.15:08:13
er-1m-8m,1000000,8000000,1,2,954.828491,0,100000,388.201880,39985,0,440711,0,-1,2021-08-21.15:08:31
livej,4847571,68993773,1,2,4918.365616,0,100000,354.195404,113042,0,8306642,0,-1,2021-08-21.15:09:29
patent,6009555,16518948,1,2,3493.913879,0,100000,365.253550,106743,0,1503897,0,-1,2021-08-21.15:10:09
pokec,1632804,30622564,1,2,1844.180794,0,100000,331.769414,85189,0,3347650,0,-1,2021-08-21.15:10:38
rmat-1m-8m,999760,7810950,1,2,434.645040,0,100000,365.367935,100691,0,22863751,0,-1,2021-08-21.15:10:43
ssca2,1048577,157877986,1,2,1027.314158,0,100000,1694.621547,1587440,0,120209585,0,-1,2021-08-21.15:11:47
