model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,batch-repeat,snum,assert,date
rmat-1m-8m,999760,7810950,1,3,46.501646,100000,0,113.165119,104511,177120,2434203,1293789,-1,200000,-1,2021-10-14.00:26:56
rmat-1m-8m,999760,7810950,1,3,68.844043,100000,0,121.722236,102081,162168,3642237,1127263,-1,400000,-1,2021-10-14.00:27:00
rmat-1m-8m,999760,7810950,1,3,101.622983,100000,0,113.389718,101188,143201,3978016,991961,-1,800000,-1,2021-10-14.00:27:03
rmat-1m-8m,999760,7810950,1,3,148.814116,100000,0,133.208629,100556,139634,7219670,878008,-1,1600000,-1,2021-10-14.00:27:07
rmat-1m-8m,999760,7810950,1,3,219.920779,100000,0,171.196492,100040,136105,13511587,767905,-1,3200000,-1,2021-10-14.00:27:11
rmat-1m-8m,999760,7810950,1,3,338.322984,100000,0,246.790813,100600,135058,26009464,667169,-1,6400000,-1,2021-10-14.00:27:15
rmat-1m-8m,999760,7810950,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:27:18
rmat-1m-8m,999760,7810950,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:27:21
rmat-1m-8m,999760,7810950,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:27:24
rmat-1m-8m,999760,7810950,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:27:28
roadNetCA,1971281,5533214,1,3,59.899010,100000,0,104.620920,192298,192491,192511,2977507,-1,100000,-1,2021-10-14.00:27:29
roadNetCA,1971281,5533214,1,3,88.272894,100000,0,142.291689,177711,179200,179427,3308433,-1,200000,-1,2021-10-14.00:27:31
roadNetCA,1971281,5533214,1,3,132.024888,100000,0,113.558963,151422,159162,161125,2531332,-1,400000,-1,2021-10-14.00:27:33
roadNetCA,1971281,5533214,1,3,206.308647,100000,0,86.544523,111827,146981,164995,1674140,-1,800000,-1,2021-10-14.00:27:36
roadNetCA,1971281,5533214,1,3,360.442843,100000,0,123.357696,152328,247592,461994,2088440,-1,1600000,-1,2021-10-14.00:27:39
roadNetCA,1971281,5533214,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:27:40
roadNetCA,1971281,5533214,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:27:42
