model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,date
ba-1m-8m,1000000,7999964,1,3,896.636620,100000,0,300.573093,22127,166886,1861854,360400,2021-08-11.00:03:43
baidu,2141301,17794839,1,3,1678.155974,100000,0,265.038068,98697,133291,10270880,807381,2021-08-11.00:04:17
dbpedia,3966925,13820853,1,3,1943.044784,100000,0,157.026750,100704,127769,1878130,1091474,2021-08-11.00:05:30
er-1m-8m,1000000,8000000,1,3,1242.126993,100000,0,103.051873,39402,66582,661946,440440,2021-08-11.00:05:44
livej,4847571,68993773,1,3,5422.033187,100000,0,465.921172,113093,159058,10980479,775017,2021-08-11.00:06:55
patent,6009555,16518948,1,3,3811.781742,100000,0,274.549765,107599,184050,2437685,1025335,2021-08-11.00:09:02
pokec,1632804,30622564,1,3,2451.753091,100000,0,277.683062,85901,147425,6144044,719793,2021-08-11.00:09:37
rmat-1m-8m,999760,7810950,1,3,526.470146,100000,0,463.411143,100622,133380,30647991,634000,2021-08-11.00:09:43
ssca2,1048577,157877986,1,3,2052.573441,100000,0,11954.753022,1582844,1672033,125473824,11924055,2021-08-11.00:11:13
wiki-links,5710993,130160392,1,3,10001.425331,100000,0,6135.554363,189808,220438,63381922,769301,2021-08-11.00:14:35
wikitalk,2394385,5021410,1,3,603.574286,100000,0,311.368689,100628,109438,14887683,1086119,2021-08-11.00:15:00
wiki_talk_en,2987536,24981163,1,3,875.449566,100000,0,554.791173,101190,110657,25589372,957626,2021-08-11.00:15:10
ba-1m-8m,1000000,7999964,1,2,756.439523,0,100000,327.529206,22136,0,0,0,2021-08-11.00:15:36
baidu,2141301,17794839,1,2,1673.962069,0,100000,504.111460,102889,0,0,0,2021-08-11.00:16:12
dbpedia,3966925,13820853,1,2,2190.806758,0,100000,873.551138,101179,0,0,0,2021-08-11.00:16:39
er-1m-8m,1000000,8000000,1,2,1069.852211,0,100000,466.986409,39381,0,0,0,2021-08-11.00:17:11
livej,4847571,68993773,1,2,5271.743318,0,100000,434.127230,111714,0,0,0,2021-08-11.00:18:26
patent,6009555,16518948,1,2,3695.108407,0,100000,479.552792,106322,0,0,0,2021-08-11.00:19:24
pokec,1632804,30622564,1,2,2010.393302,0,100000,413.173654,85367,0,0,0,2021-08-11.00:20:04
rmat-1m-8m,999760,7810950,1,2,545.845654,0,100000,415.561017,99451,0,0,0,2021-08-11.00:20:10
ssca2,1048577,157877986,1,2,1439.446154,0,100000,2063.652294,1592000,0,0,0,2021-08-11.00:21:42
wiki-links,5710993,130160392,1,2,9669.407028,0,100000,1312.063827,182849,0,0,0,2021-08-11.00:24:45
wikitalk,2394385,5021410,1,2,826.349036,0,100000,449.796158,100627,0,0,0,2021-08-11.00:24:56
wiki_talk_en,2987536,24981163,1,2,1296.967794,0,100000,865.324474,101166,0,0,0,2021-08-11.00:25:06
